image_url,downloaded
https://pictures.depop.com/b0/21405779/799458801_6e4428f76d8f4d209a39b6461f312ff4/P0.jpg,True
https://pictures.depop.com/b0/14529762/796953204_1dc20b6cc23843e6a52628df0a36fb41/P0.jpg,True
https://pictures.depop.com/b0/16505638/798671142_9d42985b1b5f4e2ba48e5a6a91d46c1b/P0.jpg,True
https://pictures.depop.com/b0/8740967/797865691_89ff0aecd69c49ddbed41d6b4b7281c5/P0.jpg,True
https://pictures.depop.com/b0/14256013/795947187_2d3cd750f271413fabe2c9709cd5115e/P0.jpg,True
https://pictures.depop.com/b0/15825638/799344985_7b001ca0f02643f8a5658e2c550ac504/P0.jpg,True
https://pictures.depop.com/b0/21599906/798392325_0d6e35794ec0455584b3bc814e3d6ea1/P0.jpg,True
https://pictures.depop.com/b0/4073595/801327273_06127e2379944b7aa360e45f26025d77/P0.jpg,True
https://pictures.depop.com/b0/11931748/799904577_98cb569b025e4a268eb6e4f01e07cca9/P0.jpg,True
https://pictures.depop.com/b0/4158632/800993983_fa30593a40894f0ea9636ba04e2d34c5/P0.jpg,True
https://pictures.depop.com/b0/17717935/796751146_e898722d6a02420b98d6b2df71b16d83/P0.jpg,True
https://pictures.depop.com/b0/18177708/796322789_8bcb10f665ab4f7095f55e89c0584305/P0.jpg,True
https://pictures.depop.com/b0/2695119/795075250_b09e377313f54de09a603a56a0f161a3/P0.jpg,True
https://pictures.depop.com/b0/1178717/796428648_d744980093984694b334961300d25aaa/P0.jpg,True
https://pictures.depop.com/b0/5650250/796095571_97d58dcb9b6c4003b85159ac8315e619/P0.jpg,True
https://pictures.depop.com/b0/18760947/799589364_3bcd5dd2b8984c268da6bfb4c9a0ce97/P0.jpg,True
https://pictures.depop.com/b0/19509679/795765332_e96dbb41e481458593d1ba4a10e3d564/P0.jpg,True
https://pictures.depop.com/b0/3078135/797993852_a7113211807646d79c355c3ba3601579/P0.jpg,True
https://pictures.depop.com/b0/13373565/796056938_0f6c3c524f7343b0b5f2751d3458c1af/P0.jpg,True
https://pictures.depop.com/b0/17281760/800295938_8706704921834dfe963653762cd72140/P0.jpg,True
https://pictures.depop.com/b0/18522711/795780711_094370365b06434ba4c64d79b0d1f001/P0.jpg,True
https://pictures.depop.com/b0/11931748/799081130_f332b07c2831425389e8593a28f562d1/P0.jpg,True
https://pictures.depop.com/b0/18772989/794993072_272c81e7024c46b0b63d8eaad49d5d3e/P0.jpg,True
https://pictures.depop.com/b0/5913955/796508534_6dbb75bdfa2742a78e8dfa710c18d0c0/P0.jpg,True
https://pictures.depop.com/b0/11036828/796989644_691f685d6df8443c8b8a7af5f87a7c2e/P0.jpg,True
https://pictures.depop.com/b0/12932824/798340154_d8e8738dffde4b03bfca67c038bf5f41/P0.jpg,True
https://pictures.depop.com/b0/20216806/798541714_9c12b8c25b7b4c62a26e8913d4c82e5b/P0.jpg,True
https://pictures.depop.com/b0/15550474/796008149_8157b472fa1c401fac631c704f5c3d90/P0.jpg,True
https://pictures.depop.com/b0/13249439/798170581_902aaf50eebf48e5a59573ef8971f06e/P0.jpg,True
https://pictures.depop.com/b0/6146620/800088038_623189e72a194ad49470bad29448cf4b/P0.jpg,False
https://pictures.depop.com/b0/12531094/801197134_e7fc92733ab5493e8be44d3598685848/P0.jpg,True
https://pictures.depop.com/b0/9572105/800356701_8d7121e8129749f7bcd8cb991a1911bb/P0.jpg,True
https://pictures.depop.com/b0/20560200/796933843_bd243457506d4dcfabe40d2b455ca007/P0.jpg,True
https://pictures.depop.com/b0/8780137/799558258_f72b543dcd4342dcafc84bc789963544/P0.jpg,True
https://pictures.depop.com/b0/19622504/798401350_8c23ada771f242c1beafe25df78ef64d/P0.jpg,True
https://pictures.depop.com/b0/19765858/798565127_b4f323cf67704183b81b2b96a9164416/P0.jpg,True
https://pictures.depop.com/b0/12531094/798456203_ac99c9119bd44a919f58ef7824da700e/P0.jpg,True
https://pictures.depop.com/b0/9708461/787028531_f3c8f1685bc44bf1905ce8fda810958b/P0.jpg,True
https://pictures.depop.com/b0/19156301/799462825_9724ddb857564d99b81bfaf254e2505a/P0.jpg,True
https://pictures.depop.com/b0/18803046/800123452_57485e2ac7d44443b0c6254545aa2998/P0.jpg,True
https://pictures.depop.com/b0/1589149/796655284_acc62e4c5b6041e2a1f02fe1ca6a5079/P0.jpg,True
https://pictures.depop.com/b0/7879219/801061036_409b052dabd04f61bcab4592a6da7520/P0.jpg,True
https://pictures.depop.com/b0/21849327/795530354_08aed0185ccc4ab3b3ee7a5d5dee0bc8/P0.jpg,True
https://pictures.depop.com/b0/21389844/798137282_8e68ddca6e8741d1853f9c1906c7b733/P0.jpg,True
https://pictures.depop.com/b0/19622504/798394218_442a267917ba4a80bf7f171d17ec6e69/P0.jpg,True
https://pictures.depop.com/b0/18053936/796113955_bb5d9a0dc47044ab9ce324336f8a02d1/P0.jpg,True
https://pictures.depop.com/b0/6301004/800196846_0b2d1ea0e5f440a1a1a254f3ae78b45c/P0.jpg,True
https://pictures.depop.com/b0/3252198/799668192_f566723824e749f698623dbdd24b8ba4/P0.jpg,True
https://pictures.depop.com/b0/18133048/798754528_05d63446c1554b99a76b2b13215f11cd/P0.jpg,True
https://pictures.depop.com/b0/6907963/800662497_3d5d87aea23f4e90a0c70566b6707bfd/P0.jpg,True
https://pictures.depop.com/b0/20226403/797610602_a481870205cf4f6abcab562fc3310735/P0.jpg,True
https://pictures.depop.com/b0/12264919/796424682_c7c496b586674d9498ec62faf152eb94/P0.jpg,True
https://pictures.depop.com/b0/22995026/799065780_d3eb9a31c2dc433eb43079c3bd80f5bc/P0.jpg,True
https://pictures.depop.com/b0/19622504/799035101_024bf4a9ff304722a8f8a77087eecc06/P0.jpg,True
https://pictures.depop.com/b0/14860056/796948675_3813bcf9329a40b09f7738653fcbbd19/P0.jpg,True
https://pictures.depop.com/b0/23024424/799824175_10f6265bec7248a3b3bb2f87ef8e33b7/P0.jpg,True
https://pictures.depop.com/b0/12890026/798982386_39bb7a2155d54fac81fb9fb5316bd9eb/P0.jpg,True
https://pictures.depop.com/b0/21992358/797159302_8595784539264edfac772cea01aa8ead/P0.jpg,True
https://pictures.depop.com/b0/6804478/799162667_3ebfc92bdaee4779b3ddef7e75530be9/P0.jpg,True
https://pictures.depop.com/b0/20226403/798325516_e525ad5fba8e4eab8967193fb29219a5/P0.jpg,True
https://pictures.depop.com/b0/13151487/796661186_98d83597cabe491fadb135ea83943214/P0.jpg,False
https://pictures.depop.com/b0/4987543/798127707_4f29668a69554c76ada8b6f2db8d33e5/P0.jpg,True
https://pictures.depop.com/b0/11436462/797683105_ea0c64f0d8b448d0bc2bb27701ae979f/P0.jpg,True
https://pictures.depop.com/b0/5119420/801477847_3fc6b48ac15b438083267600a91217d0/P0.jpg,True
https://pictures.depop.com/b0/2939755/798358893_e84e21087c974a3d8a1feff77f7fd098/P0.jpg,True
https://pictures.depop.com/b0/4112695/797608693_1df0a0f5bd774a7499d44cd582b8c4cb/P0.jpg,True
https://pictures.depop.com/b0/17018879/798800757_664a016e9afb4538b745099463202625/P0.jpg,True
https://pictures.depop.com/b0/6914039/798705034_0d95ce73d33e4d80a14d340147bcf3e0/P0.jpg,True
https://pictures.depop.com/b0/4624812/798877998_a87392fa3c0849829110ec041ec8911a/P0.jpg,True
https://pictures.depop.com/b0/9481436/795941767_4128191ba8334912ad745b61dda4f7b5/P0.jpg,True
https://pictures.depop.com/b0/1151859/795686079_6797b682940045adb62af999d3738a6f/P0.jpg,True
https://pictures.depop.com/b0/4897736/798646851_32a8b50ad1e04a9faab861a07314c350/P0.jpg,True
https://pictures.depop.com/b0/17017679/800402163_b3719117f7864cc79f0bfad22d1fc370/P0.jpg,True
https://pictures.depop.com/b0/15178315/795295132_a7680d9878c14576a96dd7f8eb1fba68/P0.jpg,True
https://pictures.depop.com/b0/14676825/799335615_ddeaf4e69d94492d8886e1556a5b09e1/P0.jpg,True
https://pictures.depop.com/b0/13138551/798302042_5c933641610549b88ce14407b6d040c8/P0.jpg,True
https://pictures.depop.com/b0/20967224/797263565_dea324f5dc9148509e97ddf240e0bbe4/P0.jpg,True
https://pictures.depop.com/b0/20948425/797535799_7a76f1aaaa43476288fddf521fb35a7b/P0.jpg,True
https://pictures.depop.com/b0/21591560/796443040_561da689c87f47b893e564adffd40b21/P0.jpg,True
https://pictures.depop.com/b0/15902537/800367973_2d81a4c1768e49b8b36823d5ac00a7ee/P0.jpg,True
https://pictures.depop.com/b0/12638806/799858207_f94e4a382b86427ca3aa690fc5f2f426/P0.jpg,True
